Deserializer is not able to find MilliCores as valid enum in <enum 'Unit'>
Inflight Requests: id=apiserver_current_inflight_requests, unit=Count
Cluster Health: id=cluster_autoscaler_cluster_safe_to_autoscale, unit=Count
Scale Down Cooldown: id=cluster_autoscaler_scale_down_in_cooldown, unit=Count
Unneeded Nodes: id=cluster_autoscaler_unneeded_nodes_count, unit=Count
Unschedulable Pods: id=cluster_autoscaler_unschedulable_pods_count, unit=Count
Total number of available cpu cores in a managed cluster: id=kube_node_status_allocatable_cpu_cores, unit=Count
Total amount of available memory in a managed cluster: id=kube_node_status_allocatable_memory_bytes, unit=Bytes
Number of pods in Ready state: id=kube_pod_status_ready, unit=Count
Statuses for various node conditions: id=kube_node_status_condition, unit=Count
Number of pods by phase: id=kube_pod_status_phase, unit=Count
CPU Usage Millicores: id=node_cpu_usage_millicores, unit=MilliCores
CPU Usage Percentage: id=node_cpu_usage_percentage, unit=Percent
Memory RSS Bytes: id=node_memory_rss_bytes, unit=Bytes
Memory RSS Percentage: id=node_memory_rss_percentage, unit=Percent
Memory Working Set Bytes: id=node_memory_working_set_bytes, unit=Bytes
Memory Working Set Percentage: id=node_memory_working_set_percentage, unit=Percent
Disk Used Bytes: id=node_disk_usage_bytes, unit=Bytes
Disk Used Percentage: id=node_disk_usage_percentage, unit=Percent
Network In Bytes: id=node_network_in_bytes, unit=Bytes
Network Out Bytes: id=node_network_out_bytes, unit=Byte
